index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
18	main-captions	MSRvid	2012test	28	none	none	a cat is rubbing against baby's face.	a cat is rubbing against a baby.	3.800
19	main-captions	MSRvid	2012test	29	none	none	the man is riding a horse.	a man is riding on a horse.	5.000
20	main-captions	MSRvid	2012test	30	none	none	a man pours oil into a pot.	a man pours wine in a pot.	3.200
21	main-captions	MSRvid	2012test	31	none	none	a man is playing a guitar.	a girl is playing a guitar.	2.800
22	main-captions	MSRvid	2012test	32	none	none	a panda is sliding down a slide.	a panda slides down a slide.	4.600
23	main-captions	MSRvid	2012test	34	none	none	a woman is eating something.	a woman is eating meat.	3.000
24	main-captions	MSRvid	2012test	35	none	none	a woman peels a potato.	a woman is peeling a potato.	5.000
25	main-captions	MSRvid	2012test	38	none	none	the boy fell off his bike.	a boy falls off his bike.	4.800
26	main-captions	MSRvid	2012test	40	none	none	the woman is playing the flute.	a woman is playing a flute.	5.000
27	main-captions	MSRvid	2012test	42	none	none	a rabbit is running from an eagle.	a hare is running from a eagle.	4.200
28	main-captions	MSRvid	2012test	44	none	none	the woman is frying a breaded pork chop.	a woman is cooking a breaded pork chop.	4.200
29	main-captions	MSRvid	2012test	46	none	none	a girl is flying a kite.	a girl running is flying a kite.	4.000
30	main-captions	MSRvid	2012test	47	none	none	a man is riding a mechanical bull.	a man rode a mechanical bull.	4.000
31	main-captions	MSRvid	2012test	48	none	none	the man is playing the guitar.	a man is playing a guitar.	4.909
32	main-captions	MSRvid	2012test	50	none	none	a woman is dancing and singing with other women.	a woman is dancing and singing in the rain.	3.000
33	main-captions	MSRvid	2012test	52	none	none	a man is slicing a bun.	a man is slicing an onion.	2.400
34	main-captions	MSRvid	2012test	53	none	none	a man is pouring oil into a pan.	a man is pouring oil into a skillet.	4.200
35	main-captions	MSRvid	2012test	54	none	none	a lion is playing with people.	a lion is playing with two men.	3.400
36	main-captions	MSRvid	2012test	55	none	none	a dog rides a skateboard.	a dog is riding a skateboard.	5.000
37	main-captions	MSRvid	2012test	56	none	none	someone is carving a statue.	a man is carving a statue.	3.750
38	main-captions	MSRvid	2012test	57	none	none	a woman is slicing an onion.	a man is cutting an onion.	2.750
39	main-captions	MSRvid	2012test	58	none	none	a woman peels shrimp.	a woman is peeling shrimp.	5.000
40	main-captions	MSRvid	2012test	59	none	none	a woman is frying fish.	a woman is cooking fish.	4.000
41	main-captions	MSRvid	2012test	61	none	none	a woman is playing an electric guitar.	a woman is playing a guitar.	3.600
42	main-captions	MSRvid	2012test	62	none	none	a baby tiger is playing with a ball.	a baby is playing with a doll.	1.600
43	main-captions	MSRvid	2012test	64	none	none	a person is slicing a tomato.	a person is slicing some meat.	1.750
44	main-captions	MSRvid	2012test	65	none	none	a person cuts an onion.	a person is cutting an onion.	5.000
45	main-captions	MSRvid	2012test	68	none	none	a man is playing the piano.	a woman is playing the violin.	1.000
46	main-captions	MSRvid	2012test	69	none	none	a woman is playing the flute.	a man is playing the guitar.	1.000
47	main-captions	MSRvid	2012test	70	none	none	a man is cutting up a potato.	a man is cutting up carrots.	2.375
48	main-captions	MSRvid	2012test	71	none	none	a kid is playing guitar.	a boy is playing a guitar.	3.800
49	main-captions	MSRvid	2012test	72	none	none	a boy is playing guitar.	a man is playing a guitar.	3.200
50	main-captions	MSRvid	2012test	73	none	none	a man is playing guitar.	a boy is playing a guitar.	3.200
51	main-captions	MSRvid	2012test	75	none	none	a little boy is playing a keyboard.	a boy is playing key board.	4.400
52	main-captions	MSRvid	2012test	77	none	none	a man is playing a guitar.	a man is playing an electric guitar.	3.750
53	main-captions	MSRvid	2012test	78	none	none	a dog licks a baby.	a dog is licking a baby.	4.750
54	main-captions	MSRvid	2012test	80	none	none	a woman is slicing an onion.	a man is cutting and onion.	3.200
55	main-captions	MSRvid	2012test	81	none	none	a man is playing the guitar.	a man is playing the drums.	1.556
56	main-captions	MSRvid	2012test	83	none	none	a woman is slicing a pepper.	a woman is cutting a red pepper.	3.938
57	main-captions	MSRvid	2012test	84	none	none	a man is playing the drums.	a man plays the drum.	5.000
58	main-captions	MSRvid	2012test	85	none	none	a woman rides a horse.	a woman is riding a horse.	5.000
59	main-captions	MSRvid	2012test	86	none	none	a man is eating a banana by a tree.	a man is eating a banana.	4.000
60	main-captions	MSRvid	2012test	87	none	none	a cat is playing a key board.	a man is playing two keyboards.	1.600
61	main-captions	MSRvid	2012test	89	none	none	a man chops down a tree with an axe.	a man cut a tree with an axe.	4.750
62	main-captions	MSRvid	2012test	90	none	none	a kid plays with a toy phone.	a little boy plays with a toy phone.	3.500
63	main-captions	MSRvid	2012test	93	none	none	a man is riding a motorcycle.	a man is riding a horse.	1.400
64	main-captions	MSRvid	2012test	94	none	none	a man is riding a motorcycle.	a man is riding a horse.	1.400
65	main-captions	MSRvid	2012test	99	none	none	a squirrel is spinning around in circles.	a squirrel runs around in circles.	4.000
66	main-captions	MSRvid	2012test	101	none	none	a man and a woman are kissing.	a man and woman kiss.	5.000
67	main-captions	MSRvid	2012test	102	none	none	a man is getting into a car.	a man is getting into a car in a garage.	3.833
68	main-captions	MSRvid	2012test	104	none	none	a man is dancing.	a man is talking.	0.600
69	main-captions	MSRvid	2012test	105	none	none	a man is playing the guitar and singing.	a man is playing the guitar.	2.917
70	main-captions	MSRvid	2012test	106	none	none	a person is cutting mushrooms.	a person is cutting mushrooms with a knife.	4.200
71	main-captions	MSRvid	2012test	108	none	none	a tiger cub is making a sound.	a tiger is walking around.	2.000
72	main-captions	MSRvid	2012test	109	none	none	a person is slicing onions.	a person is peeling an onion.	2.600
73	main-captions	MSRvid	2012test	110	none	none	a man is playing the piano.	a man is playing the trumpet.	1.600
74	main-captions	MSRvid	2012test	111	none	none	a woman is peeling a potato.	a woman is peeling an apple.	2.000
75	main-captions	MSRvid	2012test	112	none	none	a pankda is eating bamboo.	a panda bear is eating some bamboo.	4.200
76	main-captions	MSRvid	2012test	113	none	none	a person is peeling an onion.	a person is peeling an eggplant.	2.000
77	main-captions	MSRvid	2012test	114	none	none	a monkey pushes another monkey.	the monkey pushed the other monkey.	4.800
78	main-captions	MSRvid	2012test	115	none	none	a squirrel runs around in circles.	a squirrel is moving in circles.	4.400
79	main-captions	MSRvid	2012test	116	none	none	a man is tying his shoe.	a man ties his shoe.	5.000
80	main-captions	MSRvid	2012test	117	none	none	a boy is singing and playing the piano.	a boy is playing the piano.	3.000
81	main-captions	MSRvid	2012test	118	none	none	a dog is eating water melon.	a dog is eating a piece of watermelon.	4.250
82	main-captions	MSRvid	2012test	119	none	none	a woman is chopping broccoli.	a woman is chopping broccoli with a knife.	4.250
83	main-captions	MSRvid	2012test	120	none	none	a man is peeling a potato.	a man peeled a potatoe.	3.800
84	main-captions	MSRvid	2012test	121	none	none	a woman is playing a guitar.	a man plays a guitar.	2.400
85	main-captions	MSRvid	2012test	123	none	none	a woman is slicing tomato.	a man is slicing onion.	1.600
86	main-captions	MSRvid	2012test	125	none	none	a man swims underwater.	a woman is swimming underwater.	2.000
87	main-captions	MSRvid	2012test	126	none	none	a man and woman are talking.	a man and woman is eating.	1.600
88	main-captions	MSRvid	2012test	129	none	none	a small dog is chasing a yoga ball.	a dog is chasing a ball.	4.000
89	main-captions	MSRvid	2012test	130	none	none	the men are playing cricket.	the men are playing basketball.	2.200
90	main-captions	MSRvid	2012test	131	none	none	a man rides off on a motorcycle.	a man is riding on a motorcycle.	4.400
91	main-captions	MSRvid	2012test	132	none	none	a man is playing a guitar.	a man is singing and playing a guitar.	3.600
92	main-captions	MSRvid	2012test	133	none	none	the man talked on the telephone.	the man is talking on the phone.	3.600
93	main-captions	MSRvid	2012test	135	none	none	a man is fishing.	a man is exercising.	0.500
94	main-captions	MSRvid	2012test	136	none	none	a man is levitating.	a man is talking.	0.800
95	main-captions	MSRvid	2012test	138	none	none	two boys are driving.	two bays are dancing.	0.600
96	main-captions	MSRvid	2012test	141	none	none	a man is riding on a horse.	a girl is riding a horse.	2.600
97	main-captions	MSRvid	2012test	142	none	none	a man is riding a bicycle.	a monkey is riding a bike.	2.000
98	main-captions	MSRvid	2012test	143	none	none	a man is slicing potatoes.	a woman is peeling potato.	2.200
99	main-captions	MSRvid	2012test	144	none	none	a woman is peeling a potato.	a man is slicing potato.	2.400
100	main-captions	MSRvid	2012test	145	none	none	a man is playing a guitar.	someoen is playing guitar.	3.600
101	main-captions	MSRvid	2012test	148	none	none	a woman is slicing a leek.	a woman is slicing ginger.	2.200
102	main-captions	MSRvid	2012test	149	none	none	the man cut a paper plate.	a man is cutting a paper plate.	4.800
103	main-captions	MSRvid	2012test	151	none	none	the man is playing the guitar.	a man is playing the flute.	1.643
104	main-captions	MSRvid	2012test	152	none	none	a man is playing the piano.	the man is playing the violin.	1.750
105	main-captions	MSRvid	2012test	154	none	none	a woman is slicing up some meat.	a woman is breading some meat.	2.250
106	main-captions	MSRvid	2012test	155	none	none	a man is playing on his keyboard.	a man is playing a keyboard piano.	4.000
107	main-captions	MSRvid	2012test	157	none	none	the lady chopped up the green onions.	the lady cut up a green onion.	4.800
108	main-captions	MSRvid	2012test	158	none	none	someone is sitring noodles in water.	a woman is boiling noodles in water.	3.200
109	main-captions	MSRvid	2012test	160	none	none	lionel richie is dancing on the ceiling.	lionel ritchie dances while standing on the ceiling.	4.000
110	main-captions	MSRvid	2012test	161	none	none	a man is playing a piano.	a person is playing the piano.	4.400
111	main-captions	MSRvid	2012test	163	none	none	a woman is playing flute.	a woman plays on a flute.	4.600
112	main-captions	MSRvid	2012test	164	none	none	a boy is checking a calender.	a boy is looking at a calendar.	3.800
113	main-captions	MSRvid	2012test	165	none	none	a woman is cutting an onion.	a woman is chopping onions.	4.800
114	main-captions	MSRvid	2012test	166	none	none	a man is playing guitar.	a man plays a guitar.	4.857
115	main-captions	MSRvid	2012test	167	none	none	a woman is using a sewing machine.	a woman is sewing on a machine.	5.000
116	main-captions	MSRvid	2012test	168	none	none	a woman is flipping pancakes.	a cartoon chef is flipping pancakes.	2.533
117	main-captions	MSRvid	2012test	172	none	none	a man is running on the road.	a car is driving down the road.	1.000
118	main-captions	MSRvid	2012test	175	none	none	a man is riding on a horse.	a man is talking on a phone.	1.000
119	main-captions	MSRvid	2012test	176	none	none	a man is riding a bike.	a man is riding on a horse.	2.000
120	main-captions	MSRvid	2012test	178	none	none	a woman is dancing.	a man is eating.	0.143
121	main-captions	MSRvid	2012test	179	none	none	a man is playing a piano.	a man is playing a flute.	2.000
122	main-captions	MSRvid	2012test	180	none	none	a man is playing a flute.	a man is playing a piano.	1.600
123	main-captions	MSRvid	2012test	182	none	none	a man is spinning.	a man is dancing.	1.600
124	main-captions	MSRvid	2012test	184	none	none	a monkey is swinging from limb to limb.	a monkey is swinging from tree to tree.	3.400
125	main-captions	MSRvid	2012test	185	none	none	the people got off the train.	the people got off the train at the station.	4.000
126	main-captions	MSRvid	2012test	187	none	none	a dog is jumping on a trampoline.	a dog bounces on a trampoline.	4.800
127	main-captions	MSRvid	2012test	188	none	none	a boy is playing an instrument.	a man is playing a trumpet.	2.500
128	main-captions	MSRvid	2012test	190	none	none	a woman plays the guitar.	a man sings and plays the guitar.	1.750
129	main-captions	MSRvid	2012test	191	none	none	a woman is picking a can.	a woman is slicing a tomato.	1.000
130	main-captions	MSRvid	2012test	192	none	none	a man is climbing a rope.	a man climbs up a rope.	5.000
131	main-captions	MSRvid	2012test	193	none	none	a man is lifting a car.	a man is climbing a wall.	1.400
132	main-captions	MSRvid	2012test	195	none	none	a man and woman are driving down the street in a jeep.	a man and woman are driving down the road in an open air vehicle.	4.000
133	main-captions	MSRvid	2012test	196	none	none	the shirtless man sat in a chair.	a shirtless man is sitting on a chair.	3.800
134	main-captions	MSRvid	2012test	198	none	none	two women are wrestling.	two women are wrestling on the floor.	4.000
135	main-captions	MSRvid	2012test	199	none	none	the puppy played with a blue tennis ball.	a puppy is playing with a tennis ball.	4.000
136	main-captions	MSRvid	2012test	200	none	none	a kangroo is eating something.	a kangaroo is eating.	4.800
137	main-captions	MSRvid	2012test	201	none	none	a cat is playing a piano.	a man is playing a guitar.	0.600
138	main-captions	MSRvid	2012test	202	none	none	the man cut some carpet with a knife.	a man is cutting carpet with a knife.	4.750
139	main-captions	MSRvid	2012test	203	none	none	a woman is riding a motorized scooter down a road.	a man is riding a motor scooter.	2.200
140	main-captions	MSRvid	2012test	204	none	none	someone is slicing a vegetable.	someone is slicing a tomato.	3.000
141	main-captions	MSRvid	2012test	205	none	none	a woman is dancing.	a man is talking.	0.000
142	main-captions	MSRvid	2012test	207	none	none	a dog licks up a baby's drool.	a dog licks a baby.	2.200
143	main-captions	MSRvid	2012test	208	none	none	a man is rowing a boat.	a man is slicing a tomato.	0.400
144	main-captions	MSRvid	2012test	210	none	none	a man cuts up potatos.	a man slices potatoes.	4.800
145	main-captions	MSRvid	2012test	212	none	none	a woman is chopping up garlic.	the woman is dicing garlic.	4.800
146	main-captions	MSRvid	2012test	214	none	none	an animal run in circles.	a squirrel runs in circles.	3.800
147	main-captions	MSRvid	2012test	215	none	none	a man is walking slowly across a rope bridge.	a boy is walking across a bridge.	3.000
148	main-captions	MSRvid	2012test	216	none	none	a man is playing the guitar.	a man seated in a room is playing the guitar.	4.000
149	main-captions	MSRvid	2012test	217	none	none	a man plays the flute.	a man is playing a flute.	5.000
150	main-captions	MSRvid	2012test	221	none	none	a woman cracks two eggs into a glass bowl.	a woman is cracking an egg into a bowl.	3.800
151	main-captions	MSRvid	2012test	223	none	none	a man is cutting a fish.	a man guts a fish.	3.000
152	main-captions	MSRvid	2012test	224	none	none	two men are packing suitcases into the trunk of a car.	the men are putting suitcases into the car's trunk.	4.400
153	main-captions	MSRvid	2012test	226	none	none	a man pours oil on some tomatos.	the man poured oil on the cut tomatoes.	3.800
154	main-captions	MSRvid	2012test	227	none	none	a man is slicing something.	a man is slicing a bun.	3.000
155	main-captions	MSRvid	2012test	230	none	none	a man is paddling a canoe.	a man is playing a harp.	0.667
156	main-captions	MSRvid	2012test	231	none	none	a man and woman are walking together through the woods.	a man and woman are walking arm in arm through a wooded area.	4.000
157	main-captions	MSRvid	2012test	233	none	none	the woman picked up the kangaroo.	a woman picks up a baby kangaroo.	3.750
158	main-captions	MSRvid	2012test	234	none	none	fish are swimming.	a fish is swimming.	4.133
159	main-captions	MSRvid	2012test	235	none	none	two women mix something in a food processor.	two women make something in a blender.	4.000
160	main-captions	MSRvid	2012test	237	none	none	a person is surfing a large wave.	a person is surfing.	3.600
161	main-captions	MSRvid	2012test	238	none	none	a man is playing a guitar.	a man is stabbing a target.	1.200
162	main-captions	MSRvid	2012test	239	none	none	a man is playing a flute in a band.	a man is playing a guitar.	1.600
163	main-captions	MSRvid	2012test	240	none	none	the man spread butter on the loaf of bread.	a man is spreading butter onto bread.	4.000
164	main-captions	MSRvid	2012test	241	none	none	a person is boiling noodles.	a woman is boiling noodles in water.	4.000
165	main-captions	MSRvid	2012test	243	none	none	a group of people dance on a hill.	a group of people are dancing.	3.200
166	main-captions	MSRvid	2012test	245	none	none	a man is dancing outside.	a man is playing flute.	1.000
167	main-captions	MSRvid	2012test	246	none	none	a woman is feeding a man.	a woman is mixing meat.	1.000
168	main-captions	MSRvid	2012test	247	none	none	a man is putting a pan into an oven.	a woman is cutting an onion.	0.600
169	main-captions	MSRvid	2012test	249	none	none	a woman is sitting at a desk.	a woman is riding a donkey.	0.400
170	main-captions	MSRvid	2012test	250	none	none	medics transport a patient on a stretcher.	a doctor rushes a patient on a stretcher.	3.400
171	main-captions	MSRvid	2012test	252	none	none	a woman is playing a flute on stage.	the woman is playing the flute.	3.600
172	main-captions	MSRvid	2012test	254	none	none	two baby pandas are playing.	two pandas are laying together.	3.000
173	main-captions	MSRvid	2012test	256	none	none	a baby is laughing.	a baby is laughing and giggling.	4.000
174	main-captions	MSRvid	2012test	257	none	none	a man is playing a guitar.	a boy is playing a piano.	1.200
175	main-captions	MSRvid	2012test	259	none	none	a man is folding paper.	a woman is slicing a pepper.	0.600
176	main-captions	MSRvid	2012test	260	none	none	three women are dancing.	the man is dancing.	1.600
177	main-captions	MSRvid	2012test	262	none	none	the cats are playing with each other.	two cats are fighting each other.	2.600
178	main-captions	MSRvid	2012test	263	none	none	a person is writing.	a person is writing with a pencil.	3.600
179	main-captions	MSRvid	2012test	267	none	none	a man is running.	a man is running down a road.	3.500
180	main-captions	MSRvid	2012test	268	none	none	the woman is rolling dough.	a woman is flouring and rolling dough.	3.765
181	main-captions	MSRvid	2012test	269	none	none	a woman is adding spices on a meat.	woman is adding sugar to meat.	2.750
182	main-captions	MSRvid	2012test	270	none	none	a woman is adding oil on fishes.	a woman is pouring water on fish.	2.250
183	main-captions	MSRvid	2012test	271	none	none	a young boy is holding a guitar.	a little boy is playing a guitar.	2.750
184	main-captions	MSRvid	2012test	272	none	none	a cheetah is running.	a cheetah is running across a field.	3.800
185	main-captions	MSRvid	2012test	273	none	none	the man is eating pizza.	a man is eating a slice of pizza.	4.800
186	main-captions	MSRvid	2012test	274	none	none	an orangutan is riding a bus.	a monkey is riding on a bus.	3.600
187	main-captions	MSRvid	2012test	275	none	none	a man and a woman talk in a diner.	a man and a woman are riding on a bicycle.	1.200
188	main-captions	MSRvid	2012test	277	none	none	a man is playing a guitar.	a man is cleaning a glass door.	0.400
189	main-captions	MSRvid	2012test	278	none	none	a girl is singing and playing a guitar.	a young man is singing while playing the guitar.	2.400
190	main-captions	MSRvid	2012test	282	none	none	a girl is communicating with sign language.	a young girl is using sign language.	3.941
191	main-captions	MSRvid	2012test	283	none	none	a woman is doing weight exercises.	a woman is doing her hair.	0.500
192	main-captions	MSRvid	2012test	284	none	none	a man is getting inside a car.	an elderly man is getting into a red car.	3.750
193	main-captions	MSRvid	2012test	285	none	none	a big green ball knocks a potato over.	a large green ball hits a potato.	4.000
194	main-captions	MSRvid	2012test	287	none	none	a cat is playing keyboards.	a cat is playing a piano.	3.000
195	main-captions	MSRvid	2012test	288	none	none	two dogs swim in a pool.	dogs are swimming in a pool.	4.200
196	main-captions	MSRvid	2012test	290	none	none	the man used a chopper to chop the onion.	the man used a machine to chop up a potatoe.	2.000
197	main-captions	MSRvid	2012test	291	none	none	a woman slices tofu.	a woman is cutting tofu.	5.000
198	main-captions	MSRvid	2012test	292	none	none	a herd of deer are crossing the street.	a herd of caribou are crossing a road.	3.000
199	main-captions	MSRvid	2012test	293	none	none	the person is riding the horse.	a man is riding a horse.	3.800
200	main-captions	MSRvid	2012test	294	none	none	someone is feeding a animal.	someone is playing a piano.	0.000
201	main-captions	MSRvid	2012test	295	none	none	someone is slicing tortila's.	someone is riding a horse.	0.000
202	main-captions	MSRvid	2012test	296	none	none	someone is mixing ingrediants.	someone is sewing things.	0.250
203	main-captions	MSRvid	2012test	297	none	none	a rooster pecks at a dead mouse.	a chicken is pecking at a dead mouse.	4.000
204	main-captions	MSRvid	2012test	298	none	none	a woman holds a kangaroo.	a woman is picking up a kangaroo.	3.250
205	main-captions	MSRvid	2012test	299	none	none	a man is playing with frogs	a cat is playing with a camera.	0.750
206	main-captions	MSRvid	2012test	300	none	none	two men are talking.	two men are playing guitar.	1.500
207	main-captions	MSRvid	2012test	303	none	none	a man spreads butter on a big piece of bread.	a man is smearing butter on a slice of garlic bread.	3.500
208	main-captions	MSRvid	2012test	304	none	none	a man is running across a high wire.	a man is running on rope.	3.000
209	main-captions	MSRvid	2012test	307	none	none	a man is mowing a lawn.	a woman is cutting a lemon.	0.200
210	main-captions	MSRvid	2012test	309	none	none	a man is opening a door.	a man is playing a guitar.	0.800
211	main-captions	MSRvid	2012test	311	none	none	a man is slicing a potato into pieces.	a man is cutting a potato.	4.200
212	main-captions	MSRvid	2012test	312	none	none	the woman is cutting cooked octopus.	a woman is chopping octopus.	3.800
213	main-captions	MSRvid	2012test	314	none	none	a man is punching through boards.	a dog is running through water.	0.400
214	main-captions	MSRvid	2012test	316	none	none	a man is dancing.	a man is eating bread.	0.800
215	main-captions	MSRvid	2012test	317	none	none	someone is playing a piano.	a man is playing a guitar.	1.200
216	main-captions	MSRvid	2012test	318	none	none	two foxes are eating from a plate on a brick patio.	foxes are eating from a plate.	2.800
217	main-captions	MSRvid	2012test	319	none	none	a boy is playing a key-board.	a boy is playing the piano.	3.200
218	main-captions	MSRvid	2012test	320	none	none	a person plays a keyboard.	someone is playing a keyboard.	5.000
219	main-captions	MSRvid	2012test	322	none	none	a man is shooting a gun.	a man is spitting.	0.000
220	main-captions	MSRvid	2012test	323	none	none	someone is slicing an onion.	someoen is peeling a potato.	1.000
221	main-captions	MSRvid	2012test	325	none	none	a man is swimming.	a woman is slicing meat.	0.000
222	main-captions	MSRvid	2012test	327	none	none	a man is playing the guitar.	a man plays an acoustic guitar.	3.750
223	main-captions	MSRvid	2012test	328	none	none	a woman is slicing a pumpkin.	a woman is riding an elephant.	0.400
224	main-captions	MSRvid	2012test	329	none	none	a woman is dancing.	a woman is kneading dough.	0.400
225	main-captions	MSRvid	2012test	331	none	none	a woman is cracking eggs into a bowl.	a woman is placing skewers onto a rack.	0.600
226	main-captions	MSRvid	2012test	332	none	none	a car is moving through a road.	a car is driving down the road.	4.000
227	main-captions	MSRvid	2012test	334	none	none	someone is greasing a pan.	smeone is laying down.	0.400
228	main-captions	MSRvid	2012test	335	none	none	a man is playing guitar.	a man is draining pasta.	0.400
229	main-captions	MSRvid	2012test	336	none	none	a woman is drinking vodka.	a woman is exercising.	0.400
230	main-captions	MSRvid	2012test	339	none	none	a woman is cutting meat into pieces.	a woman is cutting up some meat.	4.800
231	main-captions	MSRvid	2012test	342	none	none	a man is rinsing a steak.	a man is playing a guitar.	0.600
232	main-captions	MSRvid	2012test	344	none	none	a man is selling items.	a man is cleaning the house.	0.800
233	main-captions	MSRvid	2012test	347	none	none	a man is jumping a wall.	a man jumps onto a short wall.	3.200
234	main-captions	MSRvid	2012test	348	none	none	runners race around a track.	runners compete in a race.	3.200
235	main-captions	MSRvid	2012test	349	none	none	a man is kicking a soccer ball.	a man is mixing a bowl.	0.600
236	main-captions	MSRvid	2012test	350	none	none	a woman is frying something.	a woman is riding a horse.	0.600
237	main-captions	MSRvid	2012test	351	none	none	a cat is licking a sucker.	a woman is slicing cucumber.	0.000
238	main-captions	MSRvid	2012test	352	none	none	a woman is dancing by a fire.	a woman is taking a bath.	1.400
239	main-captions	MSRvid	2012test	355	none	none	the man is slicing a fish open.	a man is slicing a potato.	2.200
240	main-captions	MSRvid	2012test	357	none	none	butter is melting in a pan.	a man is melting butter in a pan.	3.600
241	main-captions	MSRvid	2012test	359	none	none	three boys are dancing.	kids are dancing.	3.111
242	main-captions	MSRvid	2012test	360	none	none	a woman is playing a game with a man.	a man is playing piano.	0.600
243	main-captions	MSRvid	2012test	361	none	none	the man is driving a white car.	a man is giving an interview.	0.400
244	main-captions	MSRvid	2012test	365	none	none	a man drove his car.	a man is driving a car.	4.250
245	main-captions	MSRvid	2012test	366	none	none	a car backs out of a space.	a car is backing out of a blocked lane.	3.000
246	main-captions	MSRvid	2012test	368	none	none	a man puts some cheese on a pizza.	the man sprinkled cheese on the pizza.	5.000
247	main-captions	MSRvid	2012test	369	none	none	the boy is playing the piano.	a boy plays a piano.	5.000
248	main-captions	MSRvid	2012test	371	none	none	the man played his guitar.	a man is playing a guitar.	3.750
249	main-captions	MSRvid	2012test	373	none	none	a man is riding a horse.	a man is playing a keyboard.	0.200
250	main-captions	MSRvid	2012test	374	none	none	a man is walking on a rope.	a man is riding a mo-pad.	0.400
251	main-captions	MSRvid	2012test	376	none	none	a girl is playing a flute.	a band is playing on a stage.	1.286
252	main-captions	MSRvid	2012test	377	none	none	people step off a train.	a group of people get off a train.	4.600
253	main-captions	MSRvid	2012test	378	none	none	a woman is sewing on a machine.	a woman is breading some meat.	0.600
254	main-captions	MSRvid	2012test	379	none	none	a dog is looking into swimming pool.	a dog is walking around a pool.	2.000
255	main-captions	MSRvid	2012test	380	none	none	a man is buttering a piece of bread.	a man is applying butter to bread.	5.000
256	main-captions	MSRvid	2012test	382	none	none	a man is cutting tomatoes into pieces.	a woman is cutting some vegetables.	1.800
257	main-captions	MSRvid	2012test	384	none	none	three teenage girls danced in the room.	some teenage girls are dancing for the camera.	2.400
258	main-captions	MSRvid	2012test	385	none	none	a lion is walking.	a lion is pacing in a pen.	2.400
259	main-captions	MSRvid	2012test	386	none	none	a man shooting a car.	a man is cutting a potato.	0.400
260	main-captions	MSRvid	2012test	388	none	none	a black horse is running around.	the horse is running.	4.200
261	main-captions	MSRvid	2012test	390	none	none	a woman is deveining shrimp.	a man is dancing in rain.	0.000
262	main-captions	MSRvid	2012test	391	none	none	a man is riding a horse.	a woman is washing a freezer.	0.000
263	main-captions	MSRvid	2012test	393	none	none	a man walks down a path.	a man walks across a tight rope.	0.800
264	main-captions	MSRvid	2012test	394	none	none	a man is slicing a potato.	a woman is cutting a jalepeno.	1.400
265	main-captions	MSRvid	2012test	395	none	none	a dog is barking at a ball.	a dog swims after a tennis ball.	1.500
266	main-captions	MSRvid	2012test	397	none	none	a kid runs away from a fish swinging around on a fishing pole.	a little kid is running around a fishing pole.	2.500
267	main-captions	MSRvid	2012test	398	none	none	a man is walking along a path through wilderness.	a man is walking down a road.	2.500
268	main-captions	MSRvid	2012test	399	none	none	an elderly man is speaking at a podium.	a man is making a speech at the podium.	3.500
269	main-captions	MSRvid	2012test	401	none	none	a man riding a horse in slow motion.	a man is riding on a horse.	3.400
270	main-captions	MSRvid	2012test	402	none	none	a person is cutting some burrata cheese.	the person is slicing cheese.	3.800
271	main-captions	MSRvid	2012test	403	none	none	the man is shooting an automatic rifle.	a man is shooting a gun.	3.800
272	main-captions	MSRvid	2012test	406	none	none	a man is crushing garlic with the back of a knife.	a woman is slicing meat with a knife.	1.500
